	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	RU_1_334	Кампания по сбору средств на монумент «Стена скорби»	Advertisement	1491	1
	EN_1_335	My friend Kazuo Ishiguro: ‘an artist without ego, with deeply held beliefs’	Essay	362	43
	EN_1_336	Loading the goods	Tech	364	6
	EN_1_337	Global stock markets down on debt fears as euro falls	Informational	444	27
	EN_1_338	Serbia elections: Tadic and Nikolic 'to face run-off'	Informational	470	25
	EN_1_339	Moshi-moshi? Nan no goyoo desuka? English speakers who call Japan	Informational	132	3
	EN_1_340	Russia’s security service in Irkutsk	Informational	114	3
	EN_1_341	How to boost babies’ brain power	Informational	434	9
	EN_1_342	Overall, there is still something bracing, unpredictable	Informational	179	6
	EN_1_343	The Smithsonian Institution brings to life	Informational	140	6
	EN_1_344	Tell the Truth	Informational	357	8
	EN_1_345	The Kugelmass Episode	Fiction	388	8
	EN_1_346	Snow by Ann Beattie	Fiction	466	7
	EN_1_347	That it then?'	Fiction	317	5
	EN_1_348	Home exchange - cut the cost of your holiday	Essay	313	8
	EN_1_349	The Importance of Logistics	Essay	322	4
	EN_1_350	Can corals adapt to climate change?	Informational	319	1
	EN_1_351	The importance of ethics in PR	Essay	302	1
	EN_1_352	The Chinese Model	Essay	320	3
	EN_1_353	Work in Britain is more stressful and risky	Essay	275	10
	EN_1_354	My London	Essay	314	9
	EN_1_355	Merkel's Next Coalition Spat Involves Electric Cars	Essay	366	10
	EN_1_356	Supermarkets and loyalty cards	Essay	581	23
SECTION _2					
	RU_2_1	Выступление В. В. Путина на энергетической конференции Лондон. Ланкастер хаус, 26 июня 2003 года	Speech	289	23
	RU_2_2	Выступление В. В. Путина на энергетической конференции Лондон. Ланкастер хаус, 26 июня 2003 года	Speech	351	27
	RU_2_3	Пресс-конференция в. В. Путина по результатам работы саммита тысячелетия 07 сентября 2000 года	Speech	357	17
	RU_2_4	Выступление Д. Медведева на торжественном приеме в Кремле по случаю празднования дня народного единства	Speech	421	27
	RU_2_5	«Золотой век русского авангарда» в ЦВЗ «Манеж»	Speech	334	16
	RU_2_6	Синдром брошенного вызова	essay	199	8
	EN_2_7	Liquid Body Armour	Informational	250	8
SECTION _3					
	EN_3_1	No one can tell you of the first time someone thought about collecting the honey from hives.	Educational	195	24
	EN_3_2	Beethoven completed his Fifth Piano Concerto in 1809	Educational	190	2
	EN_3_4	Swine Flu Vaccine Won't Be Ready Until October: CDC	Informational	605	1
	EN_3_5	The Tilting of the Earth: Shaping Our Seasons and Climates	Educational	457	1
	EN_3_6	The Fibonacci Sequence in Nature	Educational	363	3
	EN_3_7	The Life and Secrets of Water	Educational	330	3
	EN_3_8	Think You’re Smarter Than Animals? Maybe Not	Educational	188	12
	EN_3_9	Lizards May Be Smarter Than You Think	Educational	224	8
	EN_3_10	Too Young for School, but Ready for Irony	Informational	480/690	14+ref
	EN_3_11	How Тo... Read	Essay	437	9+ref
	EN_3_12	How Huck Found Himself In The Dock	Essay	513	21+ref
	EN_3_13	Leviathan's spyglass	Essay	358/547	20+ref
	EN_3_14	Viva Brazil! (2nd part)	Essay	378	2
	EMPTY				
	EN_3_16	How Airplanes Work	Educational	972	22
